canonical_id,runtime_id,source,kind,name,category,subcategory,from,to,status,search_visible,duplicate_of,added_in,added_at,updated_at,is_new,featured,featured_order,route,legacy_route,legacy_ids,aliases,keywords,exact_tokens
doc-pptx-txt,doc-pptx-txt,platform,file,PPTX → TXT,document,pptx-txt,PPTX,TXT,published,true,,,,,false,false,0,?tool=doc-pptx-txt,?category=document&convert=doc-pptx-txt,doc-pptx-txt,PPTX를 TXT로 | PPTX TXT 변환 | PPTX에서 TXT,문서 변환 | 오피스 변환 | 문서 | pptx-txt | PPTX | powerpoint | 파워포인트 | 프레젠테이션 | TXT | 텍스트 | 메모장,
doc-pptx-jpg,doc-pptx-jpg,platform,file,PPTX → JPG,document,office,PPTX,JPG,published,true,,,,,false,false,0,?tool=doc-pptx-jpg,?category=document&convert=doc-pptx-jpg,doc-pptx-jpg,PPTX를 JPG로 | PPTX JPG 변환 | PPTX에서 JPG,문서 변환 | 오피스 변환 | 문서 | office | PPTX | powerpoint | 파워포인트 | 프레젠테이션 | JPG | jpeg | 제이피지 | 사진 | 이미지,
doc-pptx-png,doc-pptx-png,platform,file,PPTX → PNG,document,office,PPTX,PNG,published,true,,,,,false,false,0,?tool=doc-pptx-png,?category=document&convert=doc-pptx-png,doc-pptx-png,PPTX를 PNG로 | PPTX PNG 변환 | PPTX에서 PNG,문서 변환 | 오피스 변환 | 문서 | office | PPTX | powerpoint | 파워포인트 | 프레젠테이션 | PNG | 피엔지 | 투명 이미지 | 이미지,
doc-odt-txt,doc-odt-txt,platform,file,ODT → TXT,document,odt-txt,ODT,TXT,published,true,,,,,false,false,0,?tool=doc-odt-txt,?category=document&convert=doc-odt-txt,doc-odt-txt,ODT를 TXT로 | ODT TXT 변환 | ODT에서 TXT,문서 변환 | 오피스 변환 | 문서 | odt-txt | ODT | TXT | 텍스트 | 메모장,
doc-rtf-txt,doc-rtf-txt,platform,file,RTF → TXT,document,rtf-txt,RTF,TXT,published,true,,,,,false,false,0,?tool=doc-rtf-txt,?category=document&convert=doc-rtf-txt,doc-rtf-txt,RTF를 TXT로 | RTF TXT 변환 | RTF에서 TXT,문서 변환 | 오피스 변환 | 문서 | rtf-txt | RTF | TXT | 텍스트 | 메모장,
jpg-png,jpg-png,platform,file,JPG → PNG,image,image,JPG,PNG,published,true,,,,,false,false,0,?tool=jpg-png,?category=image&convert=jpg-png,jpg-png,JPG를 PNG로 | JPG PNG 변환 | JPG에서 PNG,이미지 변환 | 사진 변환 | 이미지 | image | JPG | jpeg | 제이피지 | 사진 | PNG | 피엔지 | 투명 이미지,
png-jpg,png-jpg,platform,file,PNG → JPG,image,image,PNG,JPG,published,true,,,,,false,true,7,?tool=png-jpg,?category=image&convert=png-jpg,png-jpg,PNG를 JPG로 | PNG JPG 변환 | PNG에서 JPG,이미지 변환 | 사진 변환 | 이미지 | image | PNG | 피엔지 | 투명 이미지 | JPG | jpeg | 제이피지 | 사진,
jpg-webp,jpg-webp,platform,file,JPG → WEBP,image,image,JPG,WEBP,published,true,,,,,false,false,0,?tool=jpg-webp,?category=image&convert=jpg-webp,jpg-webp,JPG를 WEBP로 | JPG WEBP 변환 | JPG에서 WEBP,이미지 변환 | 사진 변환 | 이미지 | image | JPG | jpeg | 제이피지 | 사진 | WEBP | 웹피 | 웹 이미지,
png-webp,png-webp,platform,file,PNG → WEBP,image,image,PNG,WEBP,published,true,,,,,false,false,0,?tool=png-webp,?category=image&convert=png-webp,png-webp,PNG를 WEBP로 | PNG WEBP 변환 | PNG에서 WEBP,이미지 변환 | 사진 변환 | 이미지 | image | PNG | 피엔지 | 투명 이미지 | WEBP | 웹피 | 웹 이미지,
webp-jpg,webp-jpg,platform,file,WEBP → JPG,image,image,WEBP,JPG,published,true,,,,,false,true,8,?tool=webp-jpg,?category=image&convert=webp-jpg,webp-jpg,WEBP를 JPG로 | WEBP JPG 변환 | WEBP에서 JPG,이미지 변환 | 사진 변환 | 이미지 | image | WEBP | 웹피 | 웹 이미지 | JPG | jpeg | 제이피지 | 사진,
webp-png,webp-png,platform,file,WEBP → PNG,image,image,WEBP,PNG,published,true,,,,,false,false,0,?tool=webp-png,?category=image&convert=webp-png,webp-png,WEBP를 PNG로 | WEBP PNG 변환 | WEBP에서 PNG,이미지 변환 | 사진 변환 | 이미지 | image | WEBP | 웹피 | 웹 이미지 | PNG | 피엔지 | 투명 이미지,
heic-jpg,heic-jpg,platform,file,HEIC → JPG,image,heic-image,HEIC,JPG,published,true,,,,,false,true,9,?tool=heic-jpg,?category=image&convert=heic-jpg,heic-jpg,HEIC를 JPG로 | HEIC JPG 변환 | HEIC에서 JPG,이미지 변환 | 사진 변환 | 이미지 | heic-image | HEIC | 아이폰 사진 | 아이폰 이미지 | JPG | jpeg | 제이피지 | 사진,
heic-png,heic-png,platform,file,HEIC → PNG,image,heic-image,HEIC,PNG,published,true,,,,,false,false,0,?tool=heic-png,?category=image&convert=heic-png,heic-png,HEIC를 PNG로 | HEIC PNG 변환 | HEIC에서 PNG,이미지 변환 | 사진 변환 | 이미지 | heic-image | HEIC | 아이폰 사진 | 아이폰 이미지 | PNG | 피엔지 | 투명 이미지,
avif-jpg,avif-jpg,platform,file,AVIF → JPG,image,image,AVIF,JPG,published,true,,,,,false,false,0,?tool=avif-jpg,?category=image&convert=avif-jpg,avif-jpg,AVIF를 JPG로 | AVIF JPG 변환 | AVIF에서 JPG,이미지 변환 | 사진 변환 | 이미지 | image | AVIF | 에이비아이에프 | JPG | jpeg | 제이피지 | 사진,
avif-png,avif-png,platform,file,AVIF → PNG,image,image,AVIF,PNG,published,true,,,,,false,false,0,?tool=avif-png,?category=image&convert=avif-png,avif-png,AVIF를 PNG로 | AVIF PNG 변환 | AVIF에서 PNG,이미지 변환 | 사진 변환 | 이미지 | image | AVIF | 에이비아이에프 | PNG | 피엔지 | 투명 이미지,
jpg-avif,jpg-avif,platform,file,JPG → AVIF,image,image,JPG,AVIF,published,true,,,,,false,false,0,?tool=jpg-avif,?category=image&convert=jpg-avif,jpg-avif,JPG를 AVIF로 | JPG AVIF 변환 | JPG에서 AVIF,이미지 변환 | 사진 변환 | 이미지 | image | JPG | jpeg | 제이피지 | 사진 | AVIF | 에이비아이에프,
png-avif,png-avif,platform,file,PNG → AVIF,image,image,PNG,AVIF,published,true,,,,,false,false,0,?tool=png-avif,?category=image&convert=png-avif,png-avif,PNG를 AVIF로 | PNG AVIF 변환 | PNG에서 AVIF,이미지 변환 | 사진 변환 | 이미지 | image | PNG | 피엔지 | 투명 이미지 | AVIF | 에이비아이에프,
svg-png,svg-png,platform,file,SVG → PNG,image,image,SVG,PNG,published,true,,,,,false,false,0,?tool=svg-png,?category=image&convert=svg-png,svg-png,SVG를 PNG로 | SVG PNG 변환 | SVG에서 PNG,이미지 변환 | 사진 변환 | 이미지 | image | SVG | 벡터 이미지 | PNG | 피엔지 | 투명 이미지,
svg-jpg,svg-jpg,platform,file,SVG → JPG,image,image,SVG,JPG,published,true,,,,,false,false,0,?tool=svg-jpg,?category=image&convert=svg-jpg,svg-jpg,SVG를 JPG로 | SVG JPG 변환 | SVG에서 JPG,이미지 변환 | 사진 변환 | 이미지 | image | SVG | 벡터 이미지 | JPG | jpeg | 제이피지 | 사진,
svg-webp,svg-webp,platform,file,SVG → WEBP,image,image,SVG,WEBP,published,true,,,,,false,false,0,?tool=svg-webp,?category=image&convert=svg-webp,svg-webp,SVG를 WEBP로 | SVG WEBP 변환 | SVG에서 WEBP,이미지 변환 | 사진 변환 | 이미지 | image | SVG | 벡터 이미지 | WEBP | 웹피 | 웹 이미지,
bmp-jpg,bmp-jpg,platform,file,BMP → JPG,image,image,BMP,JPG,published,true,,,,,false,false,0,?tool=bmp-jpg,?category=image&convert=bmp-jpg,bmp-jpg,BMP를 JPG로 | BMP JPG 변환 | BMP에서 JPG,이미지 변환 | 사진 변환 | 이미지 | image | BMP | 비트맵 | JPG | jpeg | 제이피지 | 사진,
bmp-png,bmp-png,platform,file,BMP → PNG,image,image,BMP,PNG,published,true,,,,,false,false,0,?tool=bmp-png,?category=image&convert=bmp-png,bmp-png,BMP를 PNG로 | BMP PNG 변환 | BMP에서 PNG,이미지 변환 | 사진 변환 | 이미지 | image | BMP | 비트맵 | PNG | 피엔지 | 투명 이미지,
tiff-jpg,tiff-jpg,platform,file,TIFF → JPG,image,image,TIFF,JPG,published,true,,,,,false,false,0,?tool=tiff-jpg,?category=image&convert=tiff-jpg,tiff-jpg,TIFF를 JPG로 | TIFF JPG 변환 | TIFF에서 JPG,이미지 변환 | 사진 변환 | 이미지 | image | TIFF | tif | 고해상도 이미지 | JPG | jpeg | 제이피지 | 사진,
tiff-png,tiff-png,platform,file,TIFF → PNG,image,image,TIFF,PNG,published,true,,,,,false,false,0,?tool=tiff-png,?category=image&convert=tiff-png,tiff-png,TIFF를 PNG로 | TIFF PNG 변환 | TIFF에서 PNG,이미지 변환 | 사진 변환 | 이미지 | image | TIFF | tif | 고해상도 이미지 | PNG | 피엔지 | 투명 이미지,
gif-jpg,gif-jpg,platform,file,GIF → JPG,image,image,GIF,JPG,published,true,,,,,false,false,0,?tool=gif-jpg,?category=image&convert=gif-jpg,gif-jpg,GIF를 JPG로 | GIF JPG 변환 | GIF에서 JPG,이미지 변환 | 사진 변환 | 이미지 | image | GIF | 움짤 | 움직이는 이미지 | JPG | jpeg | 제이피지 | 사진,
gif-png,gif-png,platform,file,GIF → PNG,image,image,GIF,PNG,published,true,,,,,false,false,0,?tool=gif-png,?category=image&convert=gif-png,gif-png,GIF를 PNG로 | GIF PNG 변환 | GIF에서 PNG,이미지 변환 | 사진 변환 | 이미지 | image | GIF | 움짤 | 움직이는 이미지 | PNG | 피엔지 | 투명 이미지,
jpg-bmp,jpg-bmp,platform,file,JPG → BMP,image,image,JPG,BMP,published,true,,,,,false,false,0,?tool=jpg-bmp,?category=image&convert=jpg-bmp,jpg-bmp,JPG를 BMP로 | JPG BMP 변환 | JPG에서 BMP,이미지 변환 | 사진 변환 | 이미지 | image | JPG | jpeg | 제이피지 | 사진 | BMP | 비트맵,
png-bmp,png-bmp,platform,file,PNG → BMP,image,image,PNG,BMP,published,true,,,,,false,false,0,?tool=png-bmp,?category=image&convert=png-bmp,png-bmp,PNG를 BMP로 | PNG BMP 변환 | PNG에서 BMP,이미지 변환 | 사진 변환 | 이미지 | image | PNG | 피엔지 | 투명 이미지 | BMP | 비트맵,
png-ico,png-ico,platform,file,PNG → ICO,image,image,PNG,ICO,published,true,,,,,false,false,0,?tool=png-ico,?category=image&convert=png-ico,png-ico,PNG를 ICO로 | PNG ICO 변환 | PNG에서 ICO,이미지 변환 | 사진 변환 | 이미지 | image | PNG | 피엔지 | 투명 이미지 | ICO,
jpg-ico,jpg-ico,platform,file,JPG → ICO,image,image,JPG,ICO,published,true,,,,,false,false,0,?tool=jpg-ico,?category=image&convert=jpg-ico,jpg-ico,JPG를 ICO로 | JPG ICO 변환 | JPG에서 ICO,이미지 변환 | 사진 변환 | 이미지 | image | JPG | jpeg | 제이피지 | 사진 | ICO,
ico-png,ico-png,platform,file,ICO → PNG,image,image,ICO,PNG,published,true,,,,,false,false,0,?tool=ico-png,?category=image&convert=ico-png,ico-png,ICO를 PNG로 | ICO PNG 변환 | ICO에서 PNG,이미지 변환 | 사진 변환 | 이미지 | image | ICO | PNG | 피엔지 | 투명 이미지,
jpg-gif,jpg-gif,platform,file,JPG → GIF,image,image,JPG,GIF,published,true,,,,,false,false,0,?tool=jpg-gif,?category=image&convert=jpg-gif,jpg-gif,JPG를 GIF로 | JPG GIF 변환 | JPG에서 GIF,이미지 변환 | 사진 변환 | 이미지 | image | JPG | jpeg | 제이피지 | 사진 | GIF | 움짤 | 움직이는 이미지,
png-gif,png-gif,platform,file,PNG → GIF,image,image,PNG,GIF,published,true,,,,,false,false,0,?tool=png-gif,?category=image&convert=png-gif,png-gif,PNG를 GIF로 | PNG GIF 변환 | PNG에서 GIF,이미지 변환 | 사진 변환 | 이미지 | image | PNG | 피엔지 | 투명 이미지 | GIF | 움짤 | 움직이는 이미지,
heic-webp,heic-webp,platform,file,HEIC → WebP,image,heic-image,HEIC,WEBP,published,true,,,,,false,false,0,?tool=heic-webp,?category=image&convert=heic-webp,heic-webp,HEIC를 WEBP로 | HEIC WEBP 변환 | HEIC에서 WEBP,이미지 변환 | 사진 변환 | 이미지 | heic-image | HEIC | 아이폰 사진 | 아이폰 이미지 | WEBP | 웹피 | 웹 이미지,
avif-webp,avif-webp,platform,file,AVIF → WebP,image,image,AVIF,WEBP,published,true,,,,,false,false,0,?tool=avif-webp,?category=image&convert=avif-webp,avif-webp,AVIF를 WEBP로 | AVIF WEBP 변환 | AVIF에서 WEBP,이미지 변환 | 사진 변환 | 이미지 | image | AVIF | 에이비아이에프 | WEBP | 웹피 | 웹 이미지,
bmp-webp,bmp-webp,platform,file,BMP → WebP,image,image,BMP,WEBP,published,true,,,,,false,false,0,?tool=bmp-webp,?category=image&convert=bmp-webp,bmp-webp,BMP를 WEBP로 | BMP WEBP 변환 | BMP에서 WEBP,이미지 변환 | 사진 변환 | 이미지 | image | BMP | 비트맵 | WEBP | 웹피 | 웹 이미지,
tiff-webp,tiff-webp,platform,file,TIFF → WebP,image,image,TIFF,WEBP,published,true,,,,,false,false,0,?tool=tiff-webp,?category=image&convert=tiff-webp,tiff-webp,TIFF를 WEBP로 | TIFF WEBP 변환 | TIFF에서 WEBP,이미지 변환 | 사진 변환 | 이미지 | image | TIFF | tif | 고해상도 이미지 | WEBP | 웹피 | 웹 이미지,
gif-webp,gif-webp,platform,file,GIF → WebP,image,image,GIF,WEBP,published,true,,,,,false,false,0,?tool=gif-webp,?category=image&convert=gif-webp,gif-webp,GIF를 WEBP로 | GIF WEBP 변환 | GIF에서 WEBP,이미지 변환 | 사진 변환 | 이미지 | image | GIF | 움짤 | 움직이는 이미지 | WEBP | 웹피 | 웹 이미지,
ico-jpg,ico-jpg,platform,file,ICO → JPG,image,image,ICO,JPG,published,true,,,,,false,false,0,?tool=ico-jpg,?category=image&convert=ico-jpg,ico-jpg,ICO를 JPG로 | ICO JPG 변환 | ICO에서 JPG,이미지 변환 | 사진 변환 | 이미지 | image | ICO | JPG | jpeg | 제이피지 | 사진,
ico-webp,ico-webp,platform,file,ICO → WebP,image,image,ICO,WEBP,published,true,,,,,false,false,0,?tool=ico-webp,?category=image&convert=ico-webp,ico-webp,ICO를 WEBP로 | ICO WEBP 변환 | ICO에서 WEBP,이미지 변환 | 사진 변환 | 이미지 | image | ICO | WEBP | 웹피 | 웹 이미지,
webp-bmp,webp-bmp,platform,file,WebP → BMP,image,image,WEBP,BMP,published,true,,,,,false,false,0,?tool=webp-bmp,?category=image&convert=webp-bmp,webp-bmp,WEBP를 BMP로 | WEBP BMP 변환 | WEBP에서 BMP,이미지 변환 | 사진 변환 | 이미지 | image | WEBP | 웹피 | 웹 이미지 | BMP | 비트맵,
webp-gif,webp-gif,platform,file,WebP → GIF,image,image,WEBP,GIF,published,true,,,,,false,false,0,?tool=webp-gif,?category=image&convert=webp-gif,webp-gif,WEBP를 GIF로 | WEBP GIF 변환 | WEBP에서 GIF,이미지 변환 | 사진 변환 | 이미지 | image | WEBP | 웹피 | 웹 이미지 | GIF | 움짤 | 움직이는 이미지,
webp-ico,webp-ico,platform,file,WebP → ICO,image,image,WEBP,ICO,published,true,,,,,false,false,0,?tool=webp-ico,?category=image&convert=webp-ico,webp-ico,WEBP를 ICO로 | WEBP ICO 변환 | WEBP에서 ICO,이미지 변환 | 사진 변환 | 이미지 | image | WEBP | 웹피 | 웹 이미지 | ICO,
avif-bmp,avif-bmp,platform,file,AVIF → BMP,image,image,AVIF,BMP,published,true,,,,,false,false,0,?tool=avif-bmp,?category=image&convert=avif-bmp,avif-bmp,AVIF를 BMP로 | AVIF BMP 변환 | AVIF에서 BMP,이미지 변환 | 사진 변환 | 이미지 | image | AVIF | 에이비아이에프 | BMP | 비트맵,
avif-gif,avif-gif,platform,file,AVIF → GIF,image,image,AVIF,GIF,published,true,,,,,false,false,0,?tool=avif-gif,?category=image&convert=avif-gif,avif-gif,AVIF를 GIF로 | AVIF GIF 변환 | AVIF에서 GIF,이미지 변환 | 사진 변환 | 이미지 | image | AVIF | 에이비아이에프 | GIF | 움짤 | 움직이는 이미지,
bmp-gif,bmp-gif,platform,file,BMP → GIF,image,image,BMP,GIF,published,true,,,,,false,false,0,?tool=bmp-gif,?category=image&convert=bmp-gif,bmp-gif,BMP를 GIF로 | BMP GIF 변환 | BMP에서 GIF,이미지 변환 | 사진 변환 | 이미지 | image | BMP | 비트맵 | GIF | 움짤 | 움직이는 이미지,
